text,id,time,labels,label_2,label_3,label
"1 ) nowhere near that level of technology ( to produce a high confidence vaccine de that quickly ( wo human testing ), 2 ) is known to be notoriously ( not alone of course - and Eastern are wildly untrustworthy )",1233807708991688705,2020-02-29 17:34:15+00:00,rushed,,,9
When will that the cannot sue a for design ? That is a travesty of justice ?,1235588521613619200,2020-03-05 15:30:34+00:00,pharma,,,6
"When will that only 1 % of get , according to a study ?",1235588951882092544,2020-03-05 15:32:16+00:00,side-effect,,,10
"When you want to lower the population by . Create a problem like “ Corona Virus ” and use your media to promote your propaganda with acting and there will be a reaction , people will be in panic , then offer them the solution “ vaccine ” that will make them safe .",1238024780265263105,2020-03-12 08:51:23+00:00,conspiracy,,,0
"It really would be something if , tech that to date produced 0 that have made it to market , even in non - crisis times , was able to produce one for covid - 19 , in a fraction of the typical time , while skipping over major in the testing process , eh ?",1238116554610315264,2020-03-12 14:56:04+00:00,rushed,,,9
"I wish it was true , too , but the first thing they tried in China was extant veterinary Corona virus vaccine for dogs . Not just human , but vet & ; are now mostly produced in China , lately . Blame private equity tactics becoming too popular . This strain is mutant .",1238266590279405569,2020-03-13 00:52:15+00:00,country,,,1
This 💯 accurate ! Sis it getting real weird when the agenda w the coming down to mix w humanity This covid vaccine is clearly the beginning of,1239323378667925504,2020-03-15 22:51:33+00:00,conspiracy,,,0
THE QUESTION WILL IT WORK ? CHINA ALREADY BEEN TESTING & ; ALL THEIR HAVE BEEN A FAILURE SO FAR ! REMEMBER THIS VIRUS IS A BIOLOGICAL VIRUS OUT OF A LAB ! THERE IS SOME BELIEF THAT IT IN ACTUALITY A COMBINED VIRUS OR THE CORONA & ; .. ....,1239359655937069057,2020-03-16 01:15:42+00:00,ineffective,,,2
19 The virus is real . It was to spread in the West ( ignorance or malice - take your pick ). There will be huge unemployment . There will be for the rich that dwarf 2009 . You will be forced to take a covid vaccine ( whether it works or not ) yearly . Take it in and plan,1240731130921463808,2020-03-19 20:05:27+00:00,mandatory,,,4
"tobe Why do you believe the influenza death ? It ' s a billionaire dollar industry to sell useless and scare millions of healthy people into taking a semi - useless - vaccine , annually ? Influenza are at least 10 - fold .",1243984323637846019,2020-03-28 19:32:29+00:00,pharma,ineffective,ingredients,6
"the Duffer We have had our civil taken away based on an incorrect model of 500 , 000 . Now they say 5 , 700 . Based on that figure the government was wrong to draft and pass the bill . Too late now of course . They wont repeal when as no vaccine yet",1244039478425067520,2020-03-28 23:11:39+00:00,political,,,7
I ' seen some of them post that we must open our this is there to make us in order to ease the mandatory vaccine that will be to poison the poor ! 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️,1244154066160287751,2020-03-29 06:46:59+00:00,mandatory,side-effect,conspiracy,4
Brilliant . What did they test it on ? ? ? Dogs ? ? Maybe other ! I ' m alright thanks - I ' pass . The pain they suffer over of torturous captivity is incomprehensible to most . Virus vaccine,1244327246514577408,2020-03-29 18:15:08+00:00,rushed,,,9
"As long as they ' re with and in the name of , there ' s the potential for one to somehow be . COVID - 19 was likely being worked on at the - 4 facility , which was specifically set up to research and .",1245741803904647169,2020-04-02 15:56:05+00:00,conspiracy,,,0
And below is a report about a decade after the . Never once honest or about such deplorable conduct ; remember the forged ethical committee approval when absolutely no ethical committee was ? Talk about corruption indeed .,1245863893592723456,2020-04-03 00:01:13+00:00,pharma,,,6
Ester Must be careful with . . is on Team Vaccine . The man who on the Corona Virus Vaccine becomes the first Trillion Dollar Man ! 🎰💰💲🌪,1246798920983797760,2020-04-05 13:56:41+00:00,pharma,,,6
stop spreading hysteria . Covid 19 is a crime against humanity . it ' s terrorism to control society with fear . Covid 19 is big and the WHO spreading fear for everyone to take the vaccine & ; they will make .,1247024312592355329,2020-04-06 04:52:19+00:00,pharma,conspiracy,,6
"The company fro the money trail is Therapeutics with Bill and . deeply involved . They are pushing another virus stopper and and are telling us to "" trust "" . Those are to get in the money .",1247319810779664384,2020-04-07 00:26:31+00:00,pharma,,,6
"We still don ' t have a vaccine for after nearly 30 but let ' s watch Bill conjure up a "" vaccine "" for COVID - 19 overnight .",1248679429292916738,2020-04-10 18:29:09+00:00,rushed,,,9
"When someone finally a vaccine for Covid - 19 , I hope to hell it ' s anywhere but in US or in China , because I won ' t trust it from either source",1249154420543275008,2020-04-12 01:56:36+00:00,country,,,1
"He in , a patent on the Corona vaccine , , the pandemic , people fear them and and a profit off them . Perfect crime 👌 he should disclose his if he is going to tweet about pandemic 24 / 7",1249507738138193920,2020-04-13 01:20:34+00:00,pharma,conspiracy,,6
There won ' t be a vaccine until at least 2021 . Take and get back to life . COVID ' t . Unless they purposely want to crash the economy 🤔.,1249754104706084873,2020-04-13 17:39:32+00:00,unnecessary,,,11
Bill involvement with the Corona vaccine many unprotected people . Back off and mind your own business .,1250550625047400454,2020-04-15 22:24:37+00:00,ineffective,,,2
Anyone else find it a odd that the benefactor of the World health organization and the person who produced almost every modern day vaccine was so prepared for and even this COVID - 19 scenario ?,1251216812014002176,2020-04-17 18:31:49+00:00,conspiracy,pharma,,0
"Corona do not have a good track record . ( he ' s a cardiac surgeon , more with more of a general practice ) Peter did a very interesting interview on his with a who is a virologist & ; researcher into , some corona make worse",1251546486392803328,2020-04-18 16:21:49+00:00,side-effect,,,10
""" So that with corona vaccine , in , inflammation in the which ' t otherwise have been there if the vaccine ' t been given .""",1251637014602092546,2020-04-18 22:21:33+00:00,side-effect,,,10
There are no on efficacy and if you look at today ’ s of infection those who have acquire it at a higher rate than those who don ’ t so please sit down . troll you sit there waiting for anti corona post with your be religious science,1252299523432595459,2020-04-20 18:14:07+00:00,ineffective,,,2
Hard to make a vaccine cover three . Especially considering that no one yet made a successful vaccine for any corona - - . At least that I have about .,1252449534837481472,2020-04-21 04:10:13+00:00,rushed,,,9
"So sorry to hear that 😢 glad he is ❤️🙏. My child is also vaccine injured ( confirmed by our new pediatrician ) with multiple food , speech and severe eczema 😢. May I ask how you ' re your child ?",1253283733320486913,2020-04-23 11:25:01+00:00,side-effect,,,10
is close to cold / malaria not the flu . can work for smallpox or flu but not which is why there is no cure or vaccine for the cold . Not sure why people are into agenda of his vaccine in 12 - 18 with a good possibility of being ineffective,1253390545143189505,2020-04-23 18:29:27+00:00,pharma,,,6
"force to accept vaccination with ship , Ultra project to brainwash people should work because he needs remove to install his dictatorship and a stupid man shot people",1253778774828765189,2020-04-24 20:12:08+00:00,mandatory,conspiracy,,4
I hope you will not allow to be guinea for a dubious vaccine . Let them conduct their own .,1253823910426087426,2020-04-24 23:11:29+00:00,country,,,1
"this is making me crazy cry for , are not dying of corona , may be the corrupt them to commit this tragedy , It is a pure crime against humanity . Vaccine develop not less than 6 !",1253825670028943360,2020-04-24 23:18:29+00:00,political,,,7
"Why are professional who have taken the Oath , Antichrist Bill , with no medical , to take over such a huge responsibility for a vaccine ?. Why are they standing back when they ' re fully aware of his population control agenda .",1254193946848366593,2020-04-25 23:41:53+00:00,conspiracy,pharma,,0
"So with common sense , if the virus they have no for they put in your body vaccination dormant , where is it going ? Its itself , much like how you do when you sleep then wake up . A virus they in you that no cure . Where is the virus going ?",1254256895256408064,2020-04-26 03:52:01+00:00,ineffective,,,2
"Vaccine are useless all of them It ' s compromise ur system make u weak & ; easy prey for many . My were only once after being born I never up with the vaccination calendar , never been with my . They eat healthy & ; are healthy",1254326827553873920,2020-04-26 08:29:54+00:00,unnecessary,side-effect,,11
"Two are very clear , 1 - you can not make a vaccine for a virus that is , that is why we have no effective vaccine for any flu strain . 2 - Bill is trying to make money , just think if most people get how much money he will make !!!",1254349256795869184,2020-04-26 09:59:02+00:00,ineffective,,,2
S when u address us tomorrow please ensure u clarify & ; rebuke 4 the following : - Taking money from the as we all know is an of economic hit - men - & ; are doing as they Wish at SAA - is talking with Bill on Vaccination to kill all of us,1254413061160648706,2020-04-26 14:12:34+00:00,side-effect,,,10
"When this Virus get u on a Ventilator or level , u must know that are of are very small . If u want a vaccine just make a call to the Bill Gate foundation they will be happy to give an injection of that u have no idea of what the long term effect will be .",1254423247233449985,2020-04-26 14:53:02+00:00,side-effect,,,10
"COVID - 19 also some unique for vaccine safety . Based on how the virus when it some people , there ’ s a chance a vaccine could dangerously overstimulate the immune system , a reaction .",1254520864013529091,2020-04-26 21:20:56+00:00,side-effect,,,10
"🗣 Indeed , the abyss .... 🚨 All lead to the mad doctor , . , who on the Leadership Council of Bill ’ s Global Vaccine Action Plan . is among the cadre of world health who his “ Decade of Collaboration .”🚨 wickedness 🚨",1255141279609970690,2020-04-28 14:26:15+00:00,pharma,,,6
"I love how its ..."" live longer and save "" and that are a "" human right "" ... God the ... we have over 95 % vaccination ... yet over 54 % is the US are chronically ill - but guess in the Twilight Zone this sense",1255184649262780416,2020-04-28 17:18:35+00:00,side-effect,,,10
like a lot accepted the vaccine ... A lot more than even .... was so wrong it ' t have even been .,1255279586063126531,2020-04-28 23:35:49+00:00,none,,,5
"trouble And in the world we live in , it will have to be tested thoroughly before approval . A vaccine with side - effects would be an absolute boon to the anti - movement globally . rushed a vaccine for in 2009 without proper testing with some effects .",1255428543720361985,2020-04-29 09:27:44+00:00,rushed,side-effect,,9
and are best . worked with lab . lab the virus . the vaccine . See the problem here ? The guy who on the streets the tire shop right up the road . Say NO to and NO to surveillance !,1255524540299595782,2020-04-29 15:49:11+00:00,pharma,,,6
"AUTHORITARIAN - of Democrat party are COMPLETELY ANTI VOTER ID to PREVENT FRAUD . Those very same LIBERAL want YOU to be DIGITALLY marked under the pretense of getting a "" vaccine ."" NO THANKS ! VOTER ID or NO VOTE ! Keep both your vaccine & ; SATAN ' S MARK !",1255543984165777409,2020-04-29 17:06:27+00:00,political,religious,conspiracy,7
There are two ... it to prove a vaccine if ready for people to digest into their safely ... if that ’ s so it the “ Conspiracy theory ”.. or secondly it ’ s not been tested properly and it ’ s all part of the and Deep State ... it ’ s not a good,1255732603216412672,2020-04-30 05:35:57+00:00,rushed,,,9
Will the vaccine will be helpful for the nation ? Or it will be like the vaccine that you used in and them ?,1255745136547545088,2020-04-30 06:25:45+00:00,side-effect,,,10
"They are to use as lab rat . Why force a vaccine that ' t been tested on us , vaccine we don ' t know it effect . Why make a law . the vaccine been tested in the country of its origin ?",1255839471112728576,2020-04-30 12:40:36+00:00,mandatory,rushed,,4
! I think ARE HARMFUL & ; so now I ' m a Agent ! Health information is by pharmaceutical medicine & ; our media is health debate Why ' t it possible to debate openly whether pharmaceutical / are harmful ?,1255863031537565697,2020-04-30 14:14:14+00:00,political,,,7
Keeping us safe ? Is that all you know how to say he ' s not here to serve the people he ' s here to boil us slowly like under agenda while he corporate like the id2020 vaccine certificate,1255884027749416962,2020-04-30 15:37:40+00:00,conspiracy,political,ingredients,0
I laugh at your ignorance . There is no vaccine for Covid - 19 yet . Wise up & ; stop deceiving people . You were a minister with this kind of Myopic thinking ? Yet we wonder why is backwards . I bet u ur and .. do u know where d came from ?,1256302321073602566,2020-05-01 19:19:48+00:00,none,,,5
Nothing that a vaccine will keep people from getting Covid - 19 . In 2017 576 people from the flu in and that ' s with a vaccine . The flu vaccine is only 40 - 60 effective according to . The say covid19 99 . 5 percent survival rate so far .. Without a vaccine .,1257564793440960512,2020-05-05 06:56:25+00:00,unnecessary,ineffective,,11
That young man is possibly going to be the who now becomes an due to his vaccine injury . He it ’ s from those damn . exist .,1257854674419494914,2020-05-06 02:08:18+00:00,mandatory,side-effect,,4
"The are the moratorium on any research on the covid virus . While in Chapel Hill North , China 2 . 7 mil ( money ) to China to adjust it and it . The goal was to find a vaccine for it and get rich . There are no for virus '.",1259134775954210816,2020-05-09 14:54:58+00:00,conspiracy,pharma,,0
The Cost of Big ’ s Covid - 19 Vaccine Will Be in and in of,1259926624356589568,2020-05-11 19:21:30+00:00,pharma,,,6
the lady who the ’ t even know that Aluminum AND Formaldehyde which are HARMFUL are in all confused .. exactly they don ’ t teach about in school they ’ re poison and can cause !,1260258769524662276,2020-05-12 17:21:19+00:00,side-effect,ingredients,,10
Canada I know its fox ... although if there ' s even an inkling of Truth why the hell are we inviting the military into our country to test a vaccine for covid - 19 ?,1260631560572657664,2020-05-13 18:02:40+00:00,none,,,5
Vaccine from China ? no way . Will wait for !,1262248848304427010,2020-05-18 05:09:11+00:00,country,,,1
Here ' s the thing : give me the still wildly unproven vaccine . i don ' t give a,1262367918429540352,2020-05-18 13:02:20+00:00,rushed,,,9
Don ’ t trust . He is friend of Trump and got the highest grant of USD350 millions to do ( with Zero prior experience of Vaccine ). He then tied up with some company who was already vaccine to show it as his product . Share price was 5 % down post market .,1262598953788338176,2020-05-19 04:20:23+00:00,political,,,7
Both must be heavily in the more expensive “ vaccine ” not the less expensive preventative method 🤨 Such hysteria triggered my radar 🤬,1262677140061007872,2020-05-19 09:31:04+00:00,pharma,,,6
Vaccine is dangerous Because it a change to a . The vaccine is the Very First Use of a vaccine and it is being Rushed to market within 6 . The that will be from one gen of to the next .,1262752208845598724,2020-05-19 14:29:22+00:00,side-effect,,,10
They can rush this through as fast as possible but it still won ' t change the fact that I am not going to take it,1263084235704934401,2020-05-20 12:28:43+00:00,rushed,,,9
Both and US have not been looking good . serious adverse event from within 43 days of the jab !,1263086289517150209,2020-05-20 12:36:53+00:00,side-effect,,,10
So let us all understand . ' s doctor . He was following the advice of his doctor . It ' s been proven to save . We ' re concerned about people who are taking COVID without any thought at all and ZERO proof they work !,1263160075943723009,2020-05-20 17:30:05+00:00,ineffective,,,2
"F . , .: ’ s “ Clinical Trial for Its COVID Vaccine Could Not Be Much Worse ” via",1264158473526185987,2020-05-23 11:37:21+00:00,ineffective,,,2
"vaccine for COVID19 is not good or reassuring . The high dose 20 % severe adverse according to their press release - too hot for routine use . Also data from last year ( Search ; , Vaccine ) their flu vaccine only short - term immunity",1264375804101705729,2020-05-24 02:00:57+00:00,side-effect,ineffective,,10
COVID - 19 Vaccine After $ 388 Million From Bill - Backed Organization via -- This entire - 19 is a MASSIVE fraud by - - Media - CHina - and to Create a new way to control !!!!,1265243420131577858,2020-05-26 11:28:33+00:00,rushed,pharma,,9
Wow . are just temporal & ; many times even . 🤦‍♀️ Boy they found the perfect guinea pig for the covid vaccine . 🙈,1265758339184709635,2020-05-27 21:34:39+00:00,rushed,,,9
How many today ☆. by ☆ K ' cancer ?,1266251138023616512,2020-05-29 06:12:51+00:00,side-effect,,,10
"At the current time , COVID are all the rage . are not only high ; they are too high . friend ( and former trustee ) . us a much - reality check . By",1266413998708146177,2020-05-29 17:00:00+00:00,none,,,5
"Thank you for your answer . My point is this is the so "" godfather of ."" He is on the board of , , and . He his in every aspect of childhood . There is the madman at the wheel and this is why we are crying out .",1268003997220106240,2020-06-03 02:18:05+00:00,pharma,,,6
I ’ never someone speak with such nonsense coming from his mouth . Oh and rest assured will rise up if a poisonous Covid Vaccine is mandatory .,1268576471120936960,2020-06-04 16:12:54+00:00,mandatory,,,4
""" While it is unclear if will work ... said last week it was two billion of its shot , AZD1222 ."" There is no way I ' d be with something when it ' s unclear whether it will work or have side effects .",1269923123538857985,2020-06-08 09:24:01+00:00,side-effect,ineffective,,10
"no corona till the end of this century impossible . Over optimistic target of vaccine by end of the year impossible . Incase one it unsafe then he or she can choose to stay home . Let work , forceful is not possible any more",1270220127846330370,2020-06-09 05:04:12+00:00,rushed,side-effect,mandatory,9
"Stop watching . Covid death rate is infinitesimally small . 0 . 1 % confirmed covid , potentially less . You ' been into everything until they produce a vaccine for profit . You know they ' re working on a vaccine for ? They ' scare you to death for that",1271067808923877377,2020-06-11 13:12:35+00:00,pharma,unnecessary,conspiracy,6
FOLLOW THE MONEY All lead to the Vaccinate the World ! Get ' s and the Media to terrify people into believing that they are at serious risk of dying from COVID thus vast demand for they think will protect them $ !,1271507362432659460,2020-06-12 18:19:13+00:00,pharma,,,6
At least 2 leading COVID contain fetal tissue . Both research are on the Trump administration ’ s “ warp - speed ” short - list for to develop a vaccine by 2021 . .,1271531284658040838,2020-06-12 19:54:16+00:00,ingredients,,,3
valid about the rush to market vaccine that is getting rushed through ... ?,1271804791384092674,2020-06-13 14:01:05+00:00,rushed,,,9
N Here in the we are not happy at all with the the bought ( and way too much money !! :( ),1271871242694537220,2020-06-13 18:25:09+00:00,pharma,,,6
"Did you just mention a COViD - 19 certificate ? There is no logic behind such a certificate , Testing - for Covid doesnt guarantee no chance of infection 1 second later unlike a case vaccine / thus the sense in a vaccination certificate ... extortion loading",1272389316287836161,2020-06-15 04:43:47+00:00,mandatory,,,4
"now it needs a contingent of black people to volunteer for Kung Flu testing . Wow ! Remember the ? I hope our black don ' t fall for this - ever . and . Collins are not , but money and power ...",1274022035241332739,2020-06-19 16:51:38+00:00,pharma,political,,6
". Could cause autism ? According to new , if it weed killer and / or aluminum , yes ! are the Top Ten Vaccine , , and to test the COVID for and other .",1274085285073207296,2020-06-19 21:02:57+00:00,ingredients,,,3
". To Fact Check on COVID - 19 Vaccine Genetically G8M To be included , next Globe & ; Malevolence Vaccine Technocracy",1274988169914486784,2020-06-22 08:50:42+00:00,side-effect,,,10
Reading they could have a covid vaccine ready by . You ’ re if you think I ’ m let them inject me with some fast track vaccine they had to make from scratch .,1275555972241473536,2020-06-23 22:26:57+00:00,rushed,,,9
"Covid - 19 and where "" will ' Never ' save us from a deadly equivalent of Flu if common sense is used -",1277661294708109312,2020-06-29 17:52:45+00:00,ineffective,,,2
"When are you "" "" going to finally discredit this profiteer for his moneyed interest in this virus . His ownership in the vaccine patent . This guy is the of , and should have no platform whatsoever .",1278003247731671040,2020-06-30 16:31:33+00:00,pharma,,,6
"We have to assume no vaccine will be adequately safe , as could produce same over - reaction as the real thing ,. That ' s what people . Great if it is safe So need to live with very low of COVID - 19 , just like we have with flu . Sensible + immigration",1278596141492428802,2020-07-02 07:47:29+00:00,side-effect,,,10
"There is REAL evidence that virus is weakening around the world . More are now saying this . If Covid 19 "" "" ( like did ) Trump will win and we will deserve it . NO ONE WE ARE GETTING A VACCINE . We may not need one . Journalism is dead .",1279036187144060930,2020-07-03 12:56:05+00:00,unnecessary,,,11
"If we hasten the development of against corona , we might kill many people through deadly side effects . Instead of , a rational approach to combat the virus is",1279084509988872192,2020-07-03 16:08:06+00:00,side-effect,,,10
I believe it was his polio vaccine ( could be wrong ) that and more then the disease hurt . Please keep in mind his are all over this Covid research . His rapid already had to be by the .,1279420508593889280,2020-07-04 14:23:14+00:00,side-effect,,,10
I don ' t care if it ' s free ! I won ' t be taken it that ' s for sure . Give to Trump ' s 😂😂😂😂😂😂😂😂😂,1280529383011295234,2020-07-07 15:49:30+00:00,political,,,7
"the healthy people probably need it very little generally ... the people that need it , the side effects are like",1283213089333301251,2020-07-15 01:33:36+00:00,side-effect,,,10
Das That is a key question . Why ’ t a vaccine ever found for the previous Corona Virus ? Did they just give up looking when it went away or ’ t a safe and effective vaccine ever found ?,1283334455591972865,2020-07-15 09:35:52+00:00,ineffective,,,2
These are not scientifically proven to prevent spread of covid This is nothing more than a operation to mind control us into the Bill Covid vaccine A vaccine which may not be effective but potentially harmful,1283594604768624642,2020-07-16 02:49:36+00:00,side-effect,ineffective,,10
"We still don ' t have a vaccine for or , which are corona . Its been over 10 The are just a hail mary to make people think that the government is still in control . They do not work . The virus will continue unchecked until it and to exist",1284333135866585089,2020-07-18 03:44:16+00:00,unnecessary,,,11
""" Instead of an antigen & ; adjuvant as with traditional , a small piece of genetic code into human , throughout the human body and to produce "" You can be a guinea pig if you choose to",1284718782380937221,2020-07-19 05:16:41+00:00,ingredients,conspiracy,,3
76 I ' m not willing to take a rushed vaccine .. which could do the same to or worse than covid !,1284891321212243970,2020-07-19 16:42:17+00:00,rushed,side-effect,,9
"That ' s the one ' t it . I do know that on some basic good science , for example they did not test people involved for viral or before giving them the vaccine . So I am skeptical of their data .",1285251251995803650,2020-07-20 16:32:31+00:00,rushed,pharma,,9
"Glad to see the same in the . Any or executive - also , ? 😏 "" Covid - 19 vaccine allegedly given to and "" COVID19vaccine",1285298011405529094,2020-07-20 19:38:20+00:00,political,,,7
"If this is spending £ m on other than the one and giving away huge of cash to people who ’ t their , I ’ d say that vaccine is likely dead in the water - whatever they tell you about what a successful success it is .",1285337087970086915,2020-07-20 22:13:36+00:00,ineffective,,,2
Or are they you for the infertility that the Covid vaccine will cause ? Who to volunteer ???,1285389610563047426,2020-07-21 01:42:19+00:00,side-effect,,,10
should throw in some so we don ' t have to be anxious about taking a poorly tested vaccine . $,1285907116465762305,2020-07-22 11:58:42+00:00,rushed,,,9
"better not force a COVID vaccine on my family , you will need to mobilize an army of ' t to fight me media",1285981188285333505,2020-07-22 16:53:02+00:00,country,mandatory,,1
He got one is getting to millions of that r not yet even proven or by At a massive cost to the taxpayer Not the best program but it ’ s a plan Well sort of Not really,1286677953070264320,2020-07-24 15:01:43+00:00,rushed,,,9
As you know Trump is anti - COVID as are all . So why did side with evil & ; give their boy 2 Billion for 800 million COVID to be in 2020 ? Answer : Election strategy ... Can ' t kill it without the election behind him .,1286698728649236482,2020-07-24 16:24:17+00:00,political,pharma,,7
a vaccine is like depending on a as your daily driver,1287426674846347265,2020-07-26 16:36:53+00:00,country,,,1
"We ’ re being conditioned for the vaccine . will soon be by vaccine , you wait and see ! At some point people need to see through the and against this tyranny !",1287660057577086976,2020-07-27 08:04:15+00:00,conspiracy,pharma,,0
Big : ‘ 97 % of corona vaccine will become infertile ’,1287714500536422402,2020-07-27 11:40:36+00:00,side-effect,,,10
"huff Based on your tweet , I must conclude that Trump is an agent of the Beast because he is actively the vaccine .",1287730839091056640,2020-07-27 12:45:31+00:00,political,,,7
"Suicide , depression , drug related , stemming from the . Waiting for a vaccine is ludicrous when there is no guarantee of 1 and no show the long term effect of a vaccine . Just watch how quickly this virus fear 4th .",1287777991154688001,2020-07-27 15:52:53+00:00,side-effect,,,10
"I won ’ t take it , they are rushing this vaccine without full knowledge of this virus . VoteBidenToSaveAmerica2020",1287829335907471369,2020-07-27 19:16:55+00:00,rushed,,,9
The death are down to less than half of one percent . 99 % of people survive . 99 %. So why do we need a vaccine for that ?! $$$$$,1287881666245963777,2020-07-27 22:44:51+00:00,unnecessary,,,11
"Like vaccine is the only option , nothing else ? Look at doing great without vaccine , total 7 !! No vaccine there . Same with other . Intelligence , vitamin D , smart quick , all play role . They basically it there .",1288049358844375040,2020-07-28 09:51:12+00:00,unnecessary,,,11
Question of the day : why is it to take an unproven vaccine that your genetic make up or an antiviral that major side effects rather than take a drug with a minute side effect profile that been in use for over 50 ?,1288088987064836098,2020-07-28 12:28:40+00:00,rushed,side-effect,,9
I am fine with that . What they are not push is it for to go to school . This is being through so fast . should be the last demographic to use this vaccine on . I already am hearing it being thrown out there from in school . 🤬,1288136780252880896,2020-07-28 15:38:35+00:00,mandatory,,,4
"Master Hub Not really , vaccine is not a guarantee to give an immunity .",1288146789795794945,2020-07-28 16:18:21+00:00,ineffective,,,2
